식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식이섬유(g),나트륨(mg)
토스트(식빵),100ml,84,2.5,1.33,15.55,1.0,140.0
트위스터샌드위치,100ml,56,3.6,2.96,3.3,0.4,124.0
파운드케이크,100ml,226,3.5,11.79,26.67,0.6,119.0
햄샌드위치,100ml,185,5.3,10.0,18.69,1.8,321.0
간자장,100ml,155,5.39,2.81,25.98,1.8,345.0
국수,100ml,56,2.5,0.96,8.87,0.3,274.0
라면,100ml,79,1.5,2.52,12.19,0.7,58.0
옥수수밥,100ml,113,2.1,0.34,24.39,0.6,4.0
완두콩밥,100ml,114,2.2,0.33,24.47,0.7,1.0
유부초밥,100ml,199,5.8,6.92,27.04,0.9,134.0
육회비빔밥,100ml,115,3.9,2.88,17.66,0.9,77.0
장어덮밥,100ml,95,3.5,1.99,15.04,0.4,80.0
팥밥,100ml,140,3.2,0.41,29.53,1.3,1.0
해물덮밥,100ml,78,3.8,0.39,14.15,0.6,68.0
혼합잡곡밥,100ml,118,2.3,0.22,25.63,0.7,2.0
계란빵,100ml,158,6.0,1.99,27.2,0.9,193.0
츄러스,100ml,185,4.2,4.29,30.74,1.0,303.0
피자,100ml,153,7.8,4.77,21.07,1.6,179.0
호떡,100ml,147,2.7,5.91,20.14,0.9,2.0
감자샐러드샌드위치,100ml,108,3.1,4.73,13.39,1.3,217.0
소고기샌드위치,100ml,203,6.9,10.61,19.7,1.2,328.0
메기매운탕,100ml,59,4.0,1.46,7.39,1.0,264.0
흑미밥,100ml,120,2.3,0.37,25.73,0.7,1.0
강낭콩밥,100ml,111,2.2,0.15,24.21,0.8,2.0
검정콩밥,100ml,136,3.3,0.79,27.6,1.2,1.0
굴국밥,100ml,63,1.6,0.32,12.79,0.5,144.0
굴밥,100ml,122,4.3,1.95,21.44,1.0,126.0
낙지덮밥,100ml,92,4.5,1.28,15.44,1.2,187.0
낙지비빔밥,100ml,88,4.3,1.31,14.72,1.0,176.0
닭고기덮밥,100ml,89,4.3,0.38,16.36,0.6,67.0
돼지머리국밥,100ml,72,2.1,1.16,12.55,0.5,143.0
모듬김밥,100ml,113,4.2,2.75,17.49,1.3,184.0
모듬초밥,100ml,189,10.0,3.14,28.65,0.7,394.0
무밥,100ml,177,3.7,1.06,36.68,1.3,198.0
버섯덮밥,100ml,101,2.6,1.63,18.47,0.9,63.0
비빔잡곡밥,100ml,138,3.6,2.12,25.66,2.1,93.0
소고기국밥,100ml,66,2.3,0.56,12.54,0.5,124.0
양송이덮밥,100ml,93,1.9,0.65,19.64,0.7,46.0
열무비빔밥,100ml,84,2.5,0.51,16.86,0.9,112.0
잡채밥,100ml,113,3.1,2.08,19.65,0.7,81.0
잡탕밥,100ml,115,5.5,1.84,18.63,0.8,88.0
주먹밥,100ml,135,2.3,2.09,25.52,0.7,105.0
짜장밥,100ml,93,2.85,1.94,15.58,1.1,180.0
짬뽕밥,100ml,48,2.2,0.85,7.6,0.6,89.0
차조밥,100ml,120,2.3,0.4,25.66,0.8,1.0
참치덮밥,100ml,108,5.8,2.13,15.91,1.2,341.0
충무김밥,100ml,128,3.5,1.9,23.59,1.5,186.0
콩나물국밥,100ml,60,2.66,0.73,10.69,0.8,58.0
현미밥,100ml,120,2.3,0.38,25.75,0.7,1.0
비빔밥,100ml,133,4.5,4.64,17.68,1.1,134.0
삼각김밥,100ml,185,4.8,4.4,30.58,1.2,179.0
수수밥,100ml,122,2.4,0.4,26.0,0.9,1.0
알밥,100ml,86,2.3,1.45,15.67,0.8,151.0
영양돌솥밥,100ml,119,2.43,0.44,25.29,0.9,2.0
오곡밥,100ml,144,3.4,0.65,29.8,1.5,123.0
오므라이스,100ml,117,3.64,3.33,17.22,0.8,211.0
율무밥,100ml,118,2.2,0.17,25.56,0.3,2.0
잡곡밥,100ml,131,3.1,0.7,27.13,1.4,1.0
누룽지,100ml,87,1.5,0.06,19.17,1.0,1.0
돌솥비빔밥,100ml,101,3.4,1.78,17.46,1.2,93.0
묵밥,100ml,70,2.6,0.74,12.99,1.1,93.0
보리밥,100ml,117,2.6,0.44,25.22,1.9,1.0
팝콘,100g,511,8.3,27.34,58.06,10.4,500.0
대구포,100g,141,31.97,0.4,2.33,1.2,3876.0
계란덮밥,100ml,169,5.0,3.69,27.22,0.8,105.0
곤드레밥,100ml,124,2.2,0.94,26.8,4.4,9.0
기장밥,100ml,129,2.5,0.39,27.57,0.8,1.0
레몬청차,100g,60,0.13,0.01,14.8,0.9,3.0
식혜,100g,87,1.53,1.75,16.21,0.3,2.0
고추장아찌,100g,124,2.39,0.63,31.49,4.8,2026.0
마늘쫑장아찌,100g,118,1.96,0.14,27.34,5.2,1410.0
매실장아찌,100g,243,1.65,0.43,58.11,3.9,1126.0
무장아찌,100g,80,1.47,0.76,16.76,2.4,2933.0
오이지,100g,29,0.82,1.79,2.52,2.1,2370.0
동치미,100g,11,0.49,0.07,2.08,0.8,472.0
배추김치,100g,38,1.98,0.43,6.49,2.5,551.0
백김치,100g,16,0.95,0.07,3.0,1.9,395.0
부추김치,100g,71,3.03,2.83,8.42,2.9,670.0
얼갈이배추김치,100g,30,1.88,0.58,4.37,3.3,581.0
열무김치,100g,36,2.39,0.38,5.87,2.7,583.0
열무물김치,100g,18,1.41,0.07,2.91,0.5,493.0
열무얼갈이김치,100g,35,2.15,0.66,5.22,3.1,680.0
오이소박이,100g,37,1.76,0.37,6.66,3.1,302.0
유채김치,100g,62,3.5,0.8,10.1,,926.0
유채물김치,100g,17,1.0,0.1,3.0,,452.0
총각김치,100g,42,1.92,0.29,7.89,2.4,630.0
파김치,100g,49,2.5,0.58,8.51,4.6,655.0
물만두,100ml,92,6.1,2.56,10.5,1.3,102.0
밴댕이무침,100g,150,7.45,8.25,11.5,4.1,257.0
상추겉절이,100g,64,2.48,3.26,6.18,2.3,550.0
쑥갓나물무침,100g,64,3.0,3.8,4.4,3.9,473.0
오이생채,100g,50,1.44,1.34,7.97,2.1,404.0
탕평채,100g,97,3.55,3.81,12.26,2.7,260.0
파무침,100g,82,2.31,3.36,10.65,3.5,502.0
홍어무침,100g,99,8.93,1.32,12.98,3.4,401.0
갓김치,100g,37,3.26,0.4,7.07,3.0,720.0
고들빼기김치,100g,111,3.16,1.22,21.87,5.7,1485.0
깍두기,100g,40,1.36,0.21,8.27,,523.0
깻잎김치,100g,83,3.44,2.44,11.77,4.3,836.0
미나리나물,100g,59,2.03,3.67,4.48,3.5,301.0
세발나물무침,100g,78,3.01,4.25,7.05,4.1,701.0
우거지나물무침,100g,86,3.0,5.67,5.8,5.8,515.0
취나물무침,100g,148,2.75,12.31,6.61,6.5,564.0
골뱅이무침,100g,109,7.08,1.97,15.69,3.7,526.0
노각무침,100g,56,1.73,1.2,9.53,2.7,545.0
단무지무침,100g,40,1.0,1.6,5.6,3.2,858.0
달래무침,100g,91,2.67,1.87,15.87,4.3,578.0
더덕무침,100g,144,2.87,1.87,28.93,4.7,831.0
도라지생채,100g,119,2.75,1.11,24.52,4.9,522.0
무말랭이무침,100g,131,2.25,0.61,29.24,7.6,1073.0
물회,100g,76,4.91,2.7,7.9,2.2,299.0
미역초무침,100g,63,2.19,0.48,12.57,2.9,597.0
배추겉절이,100g,43,2.18,0.92,6.51,2.5,581.0
라조기,100g,199,10.33,11.75,13.12,1.4,324.0
멘보샤,100g,289,10.52,21.6,13.22,2.1,696.0
미꾸라지튀김,100g,387,10.89,25.39,28.85,3.5,324.0
복어튀김,100g,320,13.84,19.27,22.88,2.2,284.0
생선까스,100g,327,12.17,20.55,23.28,1.9,394.0
양파링튀김,100g,411,3.86,25.23,43.58,2.7,776.0
쥐포튀김,100g,357,9.62,16.49,42.5,1.4,717.0
치즈볼,100g,333,9.56,20.0,28.66,0.3,532.0
치즈스틱,100g,329,12.59,21.85,20.57,0.2,596.0
치킨가스,100g,296,13.96,16.96,22.01,1.9,390.0
난자완스,100g,173,10.81,10.17,9.57,1.7,352.0
고구마줄기나물,100g,97,1.64,7.46,5.77,3.2,473.0
깻잎나물,100g,146,4.23,11.49,6.42,4.3,416.0
깻잎나물볶음,100g,103,3.75,7.2,5.75,5.2,521.0
머위나물무침,100g,85,1.62,7.66,2.49,2.0,452.0
물냉면,100ml,96,3.6,0.71,18.22,0.8,201.0
김말이튀김,100g,195,2.05,7.2,30.51,1.3,460.0
깐풍새우,100g,240,8.15,13.86,20.56,2.5,531.0
닭모래집튀김,100g,312,18.73,17.73,19.4,1.3,215.0
닭튀김,100g,301,21.73,16.57,16.27,1.5,415.0
돈가스,100g,280,13.85,17.94,15.89,0.3,343.0
모밀국수,100ml,86,2.5,0.32,17.96,0.7,255.0
주꾸미삼겹살,100g,161,10.11,8.66,10.66,2.3,280.0
해물볶음,100g,105,9.55,3.83,8.05,2.3,439.0
가자미조림,100g,99,12.37,2.37,7.17,1.8,564.0
고등어조림,100g,108,8.36,6.07,4.9,1.1,411.0
고추조림,100g,111,3.3,4.9,13.4,4.0,779.0
동태조림,100g,110,16.32,1.88,6.96,1.7,557.0
북어조림,100g,182,20.83,3.33,17.14,2.1,766.0
연근조림,100g,261,2.1,1.3,60.2,4.3,668.0
조기조림,100g,128,13.7,6.27,4.27,2.2,590.0
콩조림(콩자반),100g,271,19.3,4.2,39.1,16.8,1067.0
고구마맛탕,100g,246,1.65,5.5,47.3,4.5,38.0
고구마튀김,100g,253,2.72,11.87,33.8,2.0,148.0
고추튀김,100g,202,7.6,12.6,14.6,2.2,249.0
만두탕수,100ml,95,2.8,4.41,11.0,1.9,322.0
미역줄기볶음,100g,89,1.03,7.84,3.65,3.8,857.0
소시지볶음,100g,236,9.4,14.95,15.9,1.4,718.0
순대볶음,100g,146,5.18,5.33,19.18,2.7,375.0
오징어볶음,100g,120,10.28,4.38,9.84,2.0,403.0
오징어채볶음,100g,275,22.04,7.57,29.77,1.6,975.0
잔멸치볶음,100g,330,34.97,8.97,27.43,0.4,2096.0
주꾸미볶음,100g,106,9.16,2.6,11.41,2.3,459.0
느타리버섯볶음,100g,87,3.61,4.66,7.69,4.4,453.0
닭모래집볶음,100g,176,28.11,5.8,2.82,0.9,364.0
닭볶음(닭갈비),100g,149,11.48,6.45,11.23,2.9,384.0
돼지고기볶음,100g,175,11.48,10.33,9.11,1.5,526.0
두부김치,100g,115,7.79,6.85,5.63,4.2,396.0
머위나물볶음,100g,72,2.33,4.67,5.07,3.5,479.0
소고기산적,100g,227,24.2,12.78,3.67,1.5,696.0
소라산적,100g,150,22.4,3.14,8.06,0.6,496.0
스크램블드에그,100g,149,9.99,10.98,1.61,0.0,145.0
오징어산적,100g,127,21.72,2.47,4.5,1.1,596.0
채소전,100g,194,5.4,9.5,21.6,3.1,322.0
파전,100g,195,4.56,9.35,23.2,4.1,231.0
햄부침,100g,244,11.3,17.1,11.3,1.6,716.0
호박전,100g,139,4.32,8.73,10.73,4.6,185.0
홍합산적,100g,196,22.23,6.0,13.22,1.8,900.0
화양적,100g,182,9.05,9.85,14.23,5.7,531.0
황태구이,100g,219,23.9,7.7,13.45,1.5,568.0
훈제오리,100g,319,17.22,25.63,4.83,0.5,488.0
고추전,100g,183,8.61,11.48,11.34,5.0,241.0
굴전,100g,195,10.6,10.5,14.5,2.4,326.0
깻잎전,100g,241,11.82,17.18,9.7,3.1,320.0
녹두빈대떡,100g,208,7.94,10.27,20.93,4.6,232.0
동태전,100g,195,16.48,11.63,6.11,0.1,318.0
두부부침,100g,144,12.13,9.4,2.69,0.7,132.0
두부전,100g,170,13.64,10.58,5.0,2.8,211.0
미나리전,100g,151,3.49,5.08,22.82,2.5,166.0
배추전,100g,160,3.44,5.78,23.68,3.0,218.0
버섯전,100g,160,7.02,9.91,10.8,3.6,209.0
새우전,100g,188,9.99,11.33,11.57,1.0,349.0
마늘장아찌,100g,113,2.43,0.16,25.36,2.9,1127.0
소불고기,100g,186,10.33,13.1,6.73,0.9,468.0
연어구이,100g,234,24.78,14.94,0.2,0.0,158.0
임연수구이,100g,198,21.52,11.76,1.4,0.4,628.0
콘치즈구이,100g,224,9.51,12.85,17.56,0.5,313.0
함박스테이크,100g,229,13.48,14.82,10.38,2.8,475.0
해물찜,100g,80,8.52,1.96,7.08,2.1,427.0
가자미구이,100g,151,22.61,6.42,0.76,0.0,489.0
꿩불고기,100g,74,6.7,1.7,7.94,2.0,253.0
더덕구이,100g,184,3.1,5.2,31.1,6.8,743.0
돼지껍데기구이,100g,348,23.74,26.64,3.37,0.0,475.0
대구찜,100g,75,10.34,1.58,4.94,1.7,380.0
동태찜,100g,79,10.18,1.94,5.16,1.9,397.0
동파육,100g,191,8.99,15.41,4.15,1.6,299.0
돼지등갈비찜,100g,214,16.02,10.93,12.76,1.8,532.0
북어찜,100g,157,18.73,3.8,12.0,2.0,601.0
붕어찜,100g,76,4.94,3.35,6.51,3.9,359.0
순대,100g,181,6.52,8.55,19.45,4.2,340.0
아귀찜,100g,78,12.08,1.33,4.37,1.6,352.0
오징어순대,100g,133,13.06,1.6,16.66,1.3,360.0
조기찜,100g,182,20.06,10.59,1.64,0.4,602.0
